,,,,,,
,id_produksi,id_produk,jumlah_produksi,tanggal_produksi,biaya_produksi,status
,1,1,500,11/1/2024,3000000,Selesai
,2,2,300,11/2/2024,1500000,Selesai
,3,3,200,11/3/2024,1000000,Selesai
,4,4,150,11/4/2024,1200000,Selesai
,5,5,100,11/5/2024,2500000,Selesai
,6,6,250,11/6/2024,2000000,Selesai
,7,7,100,11/7/2024,4000000,Selesai
,8,8,75,11/8/2024,2500000,Selesai
,9,9,300,11/9/2024,1500000,Selesai
,10,10,400,11/10/2024,1000000,Selesai
,11,11,500,11/11/2024,2000000,Selesai
,12,12,50,11/12/2024,1500000,Selesai
,13,13,250,11/13/2024,1000000,Selesai
,14,14,150,11/14/2024,3000000,Selesai
,15,15,1000,11/15/2024,500000,Selesai
,16,16,200,11/16/2024,4000000,Selesai
,17,17,300,11/17/2024,2500000,Selesai
,18,18,50,11/18/2024,3500000,Selesai
,19,19,200,11/19/2024,2000000,Selesai
,20,20,150,11/20/2024,5000000,Selesai
